bet_id,season,week,game_id,team,opponent,is_home,bet_type,line,odds,stake,placed_at,result,actual_margin,graded_at,notes
2026_01_NE_SEA_SEA_moneyline,2026,1,2026_01_NE_SEA,SEA,NE,True,moneyline,,,,2026-09-11 21:10:31.126943+00:00,win,3.0,2026-09-11 21:11:03.996805+00:00,
2026_01_NE_SEA_SEA_spread_-3.0,2026,1,2026_01_NE_SEA,SEA,NE,True,spread,-3.0,,,2026-09-11 21:10:31.974309+00:00,push,3.0,2026-09-11 21:11:03.998812+00:00,
2026_01_SF_LA_SF_spread_4.0,2026,1,2026_01_SF_LA,SF,LA,False,spread,4.0,,,2026-09-11 21:10:32.824454+00:00,win,20.0,2026-09-11 21:11:03.999815+00:00,
2026_01_TB_CIN_TB_spread_3.5,2026,1,2026_01_TB_CIN,TB,CIN,False,spread,3.5,,,2026-09-11 21:10:33.686158+00:00,loss,-6.0,2026-09-14 00:17:20.252343+00:00,
2026_01_CHI_CAR_CAR_spread_3.5,2026,1,2026_01_CHI_CAR,CAR,CHI,True,spread,3.5,,,2026-09-11 21:10:34.544659+00:00,loss,-22.0,2026-09-14 00:17:20.253343+00:00,
2026_01_MIA_LV_MIA_spread_3.5,2026,1,2026_01_MIA_LV,MIA,LV,False,spread,3.5,,,2026-09-11 21:10:35.395003+00:00,loss,-14.0,2026-09-14 00:17:20.255345+00:00,
2026_01_DAL_NYG_NYG_spread_3.5,2026,1,2026_01_DAL_NYG,NYG,DAL,True,spread,3.5,,,2026-09-14 00:17:08.604947+00:00,win,8.0,2026-09-14 23:38:03.553077+00:00,
2026_01_BAL_IND_BAL_moneyline,2026,1,2026_01_BAL_IND,BAL,IND,False,moneyline,,,,2026-09-14 00:17:10.329680+00:00,win,18.0,2026-09-14 00:17:20.258348+00:00,
2026_01_BUF_HOU_HOU_spread_1.5,2026,1,2026_01_BUF_HOU,HOU,BUF,True,spread,1.5,,,2026-09-14 00:17:11.567895+00:00,loss,-5.0,2026-09-14 00:17:20.259349+00:00,
2026_01_GB_MIN_MIN_spread_1.5,2026,1,2026_01_GB_MIN,MIN,GB,True,spread,1.5,,,2026-09-14 00:17:13.456273+00:00,win,17.0,2026-09-14 00:17:20.261382+00:00,
2026_01_ARI_LAC_ARI_spread_10.5,2026,1,2026_01_ARI_LAC,ARI,LAC,False,spread,10.5,,,2026-09-14 00:17:14.332185+00:00,win,12.0,2026-09-14 00:17:20.262384+00:00,
2026_01_CLE_JAX_CLE_spread_9.5,2026,1,2026_01_CLE_JAX,CLE,JAX,False,spread,9.5,,,2026-09-14 00:17:15.225535+00:00,loss,-24.0,2026-09-14 00:17:20.264617+00:00,
