game_id,season,week,game_type,gameday,home_team,away_team,div_game,vegas_spread_display,model_spread_display,spread_line,pred_margin,spread_edge,spread_hit,home_moneyline,away_moneyline,fair_home_ml_prob,pred_home_win_prob,ml_edge,ml_hit,total_line,home_score,away_score,actual_margin,actual_winner,is_outdoor,temp,wind,home_rest_days,away_rest_days
2025_01_DAL_PHI,2025,1,REG,2025-09-04,PHI,DAL,1,PHI -8.5,PHI -10.1,8.5,10.11031949520111,1.6103194952011108,False,-425.0,330.0,0.7768331562167907,0.8587854120085541,0.08195225579176335,1.0,47.5,24.0,20.0,4.0,home,1,75.0,11.0,7,7
2025_01_KC_LAC,2025,1,REG,2025-09-05,LAC,KC,1,KC -3.0,KC -3.7,-3.0,-3.670414686203003,-0.6704146862030029,False,145.0,-175.0,0.39076376554174075,0.31184249554829496,-0.07892126999344579,0.0,47.5,27.0,21.0,6.0,home,0,70.0,0.0,7,7
2025_01_TB_ATL,2025,1,REG,2025-09-07,ATL,TB,1,TB -1.5,TB -0.1,-1.5,-0.06061398983001709,1.439386010169983,False,-105.0,-115.0,0.4891657638136511,0.47220105668809437,-0.016964707125556755,1.0,47.5,20.0,23.0,-3.0,away,0,70.0,0.0,7,7
2025_01_BAL_BUF,2025,1,REG,2025-09-07,BUF,BAL,0,BAL -1.5,BUF -5.7,-1.5,5.7107415199279785,7.2107415199279785,True,110.0,-130.0,0.4572564612326044,0.7263552844597377,0.26909882322713335,1.0,50.5,41.0,40.0,1.0,home,1,58.0,8.0,7,7
2025_01_CIN_CLE,2025,1,REG,2025-09-07,CLE,CIN,1,CIN -5.5,CIN -8.1,-5.5,-8.095244646072388,-2.5952446460723877,False,195.0,-238.0,0.3249687530045188,0.16447418477992987,-0.1604945682245889,1.0,47.5,16.0,17.0,-1.0,away,1,63.0,10.0,7,7
2025_01_TEN_DEN,2025,1,REG,2025-09-07,DEN,TEN,0,DEN -8.5,DEN -7.8,8.5,7.824219465255737,-0.6757805347442627,True,-455.0,350.0,0.7867435158501441,0.7980997174457225,0.011356201595578375,1.0,42.5,20.0,12.0,8.0,home,1,84.0,6.0,7,7
2025_01_DET_GB,2025,1,REG,2025-09-07,GB,DET,1,GB -1.5,GB -0.5,1.5,0.4867076873779297,-1.0132923126220703,False,-120.0,100.0,0.5217391304347826,0.4979558656421855,-0.02378326479259707,0.0,48.5,27.0,13.0,14.0,home,1,60.0,5.0,7,7
2025_01_MIA_IND,2025,1,REG,2025-09-07,IND,MIA,0,IND -1.5,IND -1.0,1.5,0.988743245601654,-0.511256754398346,False,-112.0,-108.0,0.5043297540699688,0.521592549943376,0.017262795873407177,1.0,47.5,33.0,8.0,25.0,home,0,70.0,0.0,7,7
2025_01_CAR_JAX,2025,1,REG,2025-09-07,JAX,CAR,0,JAX -4.5,CAR -0.2,4.5,-0.22134685516357422,-4.721346855163574,False,-205.0,170.0,0.644729178800233,0.4646595069961983,-0.18006967180403466,0.0,45.5,26.0,10.0,16.0,home,1,85.0,3.0,7,7
2025_01_HOU_LA,2025,1,REG,2025-09-07,LA,HOU,0,LA -3.5,LA -4.9,3.5,4.938086032867432,1.4380860328674316,True,-166.0,140.0,0.5996387718242023,0.6964847726400663,0.09684600081586392,1.0,43.5,14.0,9.0,5.0,home,0,70.0,0.0,7,7
