game_id,season,week,gameday,away_team,home_team,pred_margin,pred_home_win_prob,vegas_spread_line,vegas_home_moneyline,vegas_away_moneyline,actual_home_score,actual_away_score,actual_margin,actual_winner,winner_correct,spread_correct,graded_at
2026_01_NE_SEA,2026,1,2026-09-09 00:00:00,NE,SEA,4.960371613502502,0.6973717577873509,3.5,-185.0,154.0,13.0,10.0,3.0,home,True,False,2026-09-10 23:59:12.618362+00:00
2026_01_SF_LA,2026,1,2026-09-10 00:00:00,SF,LA,0.1378796100616455,0.4815314985658409,3.5,-192.0,160.0,7.0,27.0,-20.0,away,False,True,2026-09-11 21:09:30.522402+00:00
2026_01_CHI_CAR,2026,1,2026-09-13 00:00:00,CHI,CAR,-3.408273935317993,0.3225400129951489,-2.5,124.0,-148.0,37.0,59.0,-22.0,away,True,True,2026-09-14 00:17:01.795922+00:00
2026_01_TB_CIN,2026,1,2026-09-13 00:00:00,TB,CIN,4.162970900535584,0.6647548242236627,3.5,-198.0,164.0,33.0,27.0,6.0,home,True,True,2026-09-14 00:17:01.798927+00:00
2026_01_NO_DET,2026,1,2026-09-13 00:00:00,NO,DET,7.530067205429077,0.7890205043706423,7.0,-325.0,260.0,31.0,30.0,1.0,home,True,False,2026-09-14 00:17:01.801929+00:00
2026_01_BUF_HOU,2026,1,2026-09-13 00:00:00,BUF,HOU,-3.4769396781921387,0.3197192644049547,-1.5,100.0,-120.0,31.0,36.0,-5.0,away,True,True,2026-09-14 00:17:01.804124+00:00
2026_01_BAL_IND,2026,1,2026-09-13 00:00:00,BAL,IND,-4.433485686779022,0.2818490834590602,-3.5,145.0,-175.0,23.0,41.0,-18.0,away,True,True,2026-09-14 00:17:01.806126+00:00
2026_01_CLE_JAX,2026,1,2026-09-13 00:00:00,CLE,JAX,8.320139706134796,0.8127391775586236,7.5,-375.0,295.0,34.0,10.0,24.0,home,True,True,2026-09-14 00:17:01.809129+00:00
2026_01_ATL_PIT,2026,1,2026-09-13 00:00:00,ATL,PIT,2.1480427384376526,0.5756338935071135,3.0,-175.0,145.0,20.0,13.0,7.0,home,True,False,2026-09-14 00:17:01.811131+00:00
2026_01_NYJ_TEN,2026,1,2026-09-13 00:00:00,NYJ,TEN,-1.3291945457458496,0.4132965350741595,3.0,-148.0,124.0,10.0,23.0,-13.0,away,True,True,2026-09-14 00:17:01.812635+00:00
2026_01_ARI_LAC,2026,1,2026-09-13 00:00:00,ARI,LAC,4.017330646514893,0.6586114737177846,10.5,-575.0,425.0,14.0,26.0,-12.0,away,False,True,2026-09-14 00:17:01.814638+00:00
2026_01_MIA_LV,2026,1,2026-09-13 00:00:00,MIA,LV,2.1296937465667725,0.5747890592333121,3.5,-192.0,160.0,27.0,13.0,14.0,home,True,False,2026-09-14 00:17:01.816757+00:00
2026_01_GB_MIN,2026,1,2026-09-13 00:00:00,GB,MIN,1.1797338724136353,0.5305651082392202,1.5,-118.0,-102.0,39.0,22.0,17.0,home,True,False,2026-09-14 00:17:01.817760+00:00
2026_01_WAS_PHI,2026,1,2026-09-13 00:00:00,WAS,PHI,4.516659069806337,0.6794407721098767,4.5,-218.0,180.0,24.0,22.0,2.0,home,True,False,2026-09-14 00:17:01.820419+00:00
2026_01_DAL_NYG,2026,1,2026-09-13 00:00:00,DAL,NYG,-6.087600469589233,0.2232200014140041,-2.5,124.0,-148.0,28.0,20.0,8.0,home,False,False,2026-09-14 23:38:01.622423+00:00
2026_01_DEN_KC,2026,1,2026-09-14 00:00:00,DEN,KC,1.5444633960723877,0.5476401665279192,3.0,-148.0,124.0,31.0,10.0,21.0,home,True,False,2026-09-15 12:22:00.685478+00:00
2026_02_DET_BUF,2026,2,2026-09-17 00:00:00,DET,BUF,4.957306087017059,0.7033244724295465,4.5,-205.0,170.0,41.0,31.0,10.0,home,True,True,2026-09-18 11:15:03.261991+00:00
